Context,intent,context_rw
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?",sleep,"Hari ibintu byinshi nkora nkumva ko nta cyo maze, nta cyo nkora uretse gutekereza ukuntu nta cyo maze, ko nta cyo nkwiriye kuba mfite, ko ntagerageza kwiyahura cyangwa ngo ntekereze ku byo nkora, ko nifuza gukemura ibibazo byanjye, ariko sinigeze mbikora."
"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depression and I’m beginning to have anxiety. I have low self esteem but I’ve been happily married for almost 35 years.
   I’ve never had counseling about any of this. Do I have too many issues to address in counseling?",sleep,"Mfite ibibazo byinshi ngomba guhangana nabyo. Mfite amateka y'ihohoterwa rishingiye ku gitsina, ndi umurwayi wa kanseri y'ibere kandi ndi umuntu utagira ibitotsi ubuzima bwanjye bwose. Mfite amateka maremare y'ihungabana kandi ntangiye kugira impungenge. Mfite kwiyubaha hasi ariko ndashyingiranywe ibyishimo hafi imyaka 35. Sinigeze ngira inama kuri ibyo byose. Ese mfite ibibazo byinshi byo guhangana nabyo mu gutanga inama?"
"I have been feeling more and more down for over a month. I have started having trouble sleeping due to panic attacks, but they are almost never triggered by something that I know of.",sleep,"Ubu maze ukwezi kurenga numva ndemerewe, kandi ntangira kugira ikibazo cyo gusinzira bitewe n'ibyago byo gutinya, ariko sinigeze numva ko biterwa n'ikintu nzi."
I’m facing severe depression and anxiety and I just feel like I’m going through a lot. This really distracts me and I cant get my mind off the things that are bothering me.    How do I overcome this anxierty and depression?,sadness_low_mood,"Mfite ikibazo cy'agahinda gakabije n'imihangayiko, numva ko ndimo ndwana n'ibintu byinshi. Ibi biranshishikaza cyane kandi sinashobora kwivanaho ibitekerezo byanjye ku bintu binshishikaza."
"I have a severe back problem. I've had 3 major and several minor operations, but I'm still in constant pain. How can I deal with the depression from this chronic pain?",sadness_low_mood,"Mfite ikibazo gikomeye cy'umugongo. Mfite za operasiyo 3 zikomeye n'izoroheje, ariko ndacyababazwa cyane."
"I suffer from adult ADHD, anxiety disorder, and depression. It has been difficult to find a doctor in my area and my primary physician won't help. I am unemployed and overwhelmed. What would you suggest I do?",overwhelmed_identity,"Mfite indwara yo mu mutwe (ADHD), indwara yo guhangayika no kwiheba. Kubona umuganga mu gace k'iwacu ntibyoroshye, kandi umuganga wanjye nta cyo amfasha."
"A few years ago I was making love to my wife when for no known reason I lost my erection,    Now I'm In my early 30s and my problem has become more and more frequent. This is causing major problems for my ego and it's diminishing my self esteem. This has resulted in ongoing depression and tearing apart my marriage.    I am devastated and cannot find a cause for these issues. I am very attracted to my wife and want to express it in the bedroom like I used to.    What could be causing this, and what can I do about it?",self_care_coping,"Mu myaka mike ishize, ubwo nakundaga umugore wanjye, nta mpamvu n'imwe nari nzi yatumye ntakaza ingufu, ubu mfite imyaka 30 y'amavuko kandi ikibazo cyanjye kiragenda kirushaho kwiyongera. Ibi bituma ngira ibibazo bikomeye ku mutima wanjye kandi bikananiza kwiyemera kwanjye. Ibi byatumye ngira agahinda kenshi kandi ntangira gushyingiranwa. Ndarambiwe cyane kandi sinshobora kubona impamvu z'ibyo bibazo. Ndumva nshaka cyane umugore wanjye kandi nshaka kumubwira mu cyumba cyanjye cy'icumbi nk'uko nabigenzaga. Ni iki gishobora kubitera, kandi se nakora iki ku birebana na byo?"
"I struggle with depression as well as pretty intense mood swings throughout the month. I experience highs where I feel amazing and energetic and then lows where I lack focus, energy, and generally have a more dark outlook on my life. How can I live a more balanced life?",sadness_low_mood,"Mu gihe cy'ukwezi kose, ndwara indwara yo kwiheba, kandi numva nisanzuye mu byiyumvo. Iyo numva mfite imbaraga, ndushaho kwibanda ku bintu by'ingenzi, kandi nkaba mfite imbaraga nyinshi, nkumva ubuzima bwanjye butameze neza."
"I self-harm, and I stop for awhile. Then when I see something sad or depressing, I automatically want to self-harm.",sadness_low_mood,"Iyo mbonye ikintu kibabaje cyangwa kibabaje, numva nshaka kwikomeretsa."
"I have been diagnosed with general anxiety and depression by my family doctor. They wrote a prescription for me to have an emotional support dog, I have the paper work, and I gave it to my apartment manager. They said I can't keep the ESD because I'm not disabled. What do you suggest I do?",self_care_coping,"Umuganga w'umuryango wanjye yambwiye ko mfite ikibazo cy'ihungabana n'ihungabana. Yandikiye inama yo kugira imbwa imfasha mu byiyumvo, maze mpereza umuyobozi w'inzu yanjye. Bambwiye ko ntashobora gukomeza kugira ikibazo cy'ihungabana kuko ntari mufite ubumuga."
"I tried telling my husband I was depressed, and he ignored me. He said ""you're always sad or depressed."" And he picked up his phone and ignored me. I said, ""Please don't exaggerate, that isn't true."" And he said, ""Whatever babe. You just want to be sad.""
   How can I get through to him so he will take me seriously?",sadness_low_mood,"Nagerageje kubwira umugabo wanjye ko nari nihebye, ariko yankoze ku ruhande. Yambwiye ati ""buri gihe uba ufite agahinda cyangwa agahinda"". Hanyuma afata telefoni maze aranyihakana. Naramubwiye nti ""ndakwinginze ntugire icyo unenga, ibyo si byo""."
